Age,Experience,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
0.045454545454545525,0.023255813953488372,0.1898148148148148,4,0.16000000000000003,1,0.0,0,1,0,0,0
0.5,0.4418604651162791,0.12037037037037035,3,0.15000000000000002,1,0.0,0,1,0,0,0
0.36363636363636365,0.3488372093023256,0.013888888888888888,1,0.1,1,0.0,0,0,0,0,0
0.2727272727272728,0.20930232558139533,0.4259259259259259,1,0.27,2,0.0,0,0,0,0,0
0.2727272727272728,0.18604651162790697,0.17129629629629628,4,0.1,2,0.0,0,0,0,0,1
0.31818181818181823,0.3023255813953488,0.09722222222222221,4,0.04000000000000001,2,0.2440944881889764,0,0,0,1,0
0.6818181818181819,0.627906976744186,0.2962962962962963,2,0.15000000000000002,2,0.0,0,0,0,1,0
0.6136363636363638,0.5581395348837209,0.06481481481481481,1,0.03,3,0.0,0,0,0,0,1
0.2727272727272728,0.23255813953488372,0.33796296296296297,3,0.06,2,0.16377952755905512,0,0,0,1,0
0.25,0.20930232558139533,0.7962962962962963,1,0.8900000000000001,3,0.0,1,0,0,0,0
0.9545454545454546,0.9069767441860465,0.44907407407407407,4,0.24,3,0.0,0,0,0,0,0
0.13636363636363635,0.11627906976744186,0.17129629629629628,3,0.010000000000000002,2,0.0,0,0,0,1,0
0.5681818181818181,0.5348837209302325,0.49074074074074076,2,0.38,3,0.0,0,1,0,0,0
0.8181818181818183,0.7441860465116279,0.14814814814814814,4,0.25,2,0.0,0,0,0,1,0
1.0,0.9534883720930233,0.48148148148148145,1,0.2,1,0.0,0,1,0,0,0
0.840909090909091,0.6976744186046512,0.06481481481481481,1,0.15000000000000002,3,0.0,0,0,0,1,1
0.34090909090909094,0.32558139534883723,0.5648148148148149,4,0.47000000000000003,3,0.2110236220472441,1,0,0,0,0
0.4318181818181819,0.41860465116279066,0.33796296296296297,4,0.24,1,0.0,0,0,0,0,0
0.5227272727272727,0.4883720930232558,0.8564814814814814,2,0.81,3,0.0,1,0,0,0,0
0.7272727272727273,0.6511627906976745,0.060185185185185175,1,0.05,2,0.0,0,1,0,0,1
0.75,0.7209302325581395,0.07870370370370369,4,0.09000000000000001,2,0.17480314960629922,0,0,0,1,0
0.7727272727272727,0.627906976744186,0.2546296296296296,3,0.2,3,0.0,0,0,0,1,0
0.13636363636363635,0.11627906976744186,0.25,1,0.12,1,0.4094488188976378,0,0,0,1,0
0.4772727272727273,0.41860465116279066,0.16203703703703703,2,0.06999999999999999,1,0.2566929133858268,0,1,0,0,0
0.2954545454545455,0.2558139534883721,0.6666666666666667,2,0.39,1,0.2503937007874016,0,0,0,0,1
0.4545454545454546,0.4418604651162791,0.09722222222222221,3,0.05,1,0.152755905511811,0,0,0,1,0
0.38636363636363646,0.37209302325581395,0.3472222222222222,4,0.020000000000000004,3,0.0,0,0,0,0,0
0.5227272727272727,0.46511627906976744,0.6944444444444444,1,0.24,1,0.0,0,0,0,1,1
0.75,0.6976744186046512,0.18518518518518517,1,0.22000000000000003,3,0.0,0,0,0,1,1
0.34090909090909094,0.3023255813953488,0.5138888888888888,1,0.33,2,0.0,1,0,1,1,1
0.8181818181818183,0.813953488372093,0.125,1,0.12,3,0.1921259842519685,0,0,0,1,0
0.38636363636363646,0.37209302325581395,0.09722222222222221,1,0.2,2,0.0,0,0,0,1,0
0.6818181818181819,0.6511627906976745,0.15277777777777776,2,0.06,3,0.30393700787401573,0,0,0,0,0
0.15909090909090917,0.13953488372093023,0.046296296296296294,3,0.09000000000000001,3,0.0,0,0,0,0,0
0.18181818181818188,0.11627906976744186,0.19444444444444442,4,0.18000000000000002,3,0.0,0,0,0,1,0
0.5681818181818181,0.5581395348837209,0.33796296296296297,3,0.06999999999999999,1,0.0,0,0,0,0,0
0.8181818181818183,0.813953488372093,0.5231481481481481,1,0.29,1,0.0,0,0,0,0,1
0.6363636363636365,0.5813953488372093,0.29166666666666663,1,0.13999999999999999,3,0.31181102362204727,0,0,0,0,0
0.4318181818181819,0.41860465116279066,0.6157407407407407,3,0.5,3,0.0,1,1,1,1,0
0.34090909090909094,0.3023255813953488,0.3333333333333333,4,0.06999999999999999,3,0.44881889763779526,0,0,0,1,0
0.7727272727272727,0.7441860465116279,0.3518518518518518,3,0.16000000000000003,3,0.0,0,1,0,0,0
0.25,0.20930232558139533,0.24074074074074076,3,0.22999999999999998,1,0.0,0,0,0,0,0
0.20454545454545459,0.16279069767441862,0.574074074074074,4,0.11000000000000001,2,0.6488188976377953,1,0,0,1,0
0.36363636363636365,0.3488372093023256,0.17129629629629628,1,0.06999999999999999,1,0.0,0,0,0,1,0
0.5227272727272727,0.46511627906976744,0.4444444444444444,1,0.5700000000000001,1,0.0,0,0,0,1,1
0.7727272727272727,0.7209302325581395,0.2037037037037037,4,0.25,1,0.0,0,0,0,0,1
0.36363636363636365,0.32558139534883723,0.16203703703703703,3,0.06999999999999999,2,0.24094488188976376,0,0,0,1,0
0.31818181818181823,0.27906976744186046,0.8611111111111112,4,0.020000000000000004,3,0.33228346456692914,1,1,1,1,1
0.75,0.6046511627906976,0.33796296296296297,2,0.45,3,0.0,0,0,0,0,1
0.38636363636363646,0.37209302325581395,0.1898148148148148,1,0.18000000000000002,1,0.0,0,0,0,0,1
0.20454545454545459,0.18604651162790697,0.0,4,0.06999999999999999,2,0.0,0,1,0,1,0
0.8636363636363638,0.8604651162790697,0.5694444444444444,1,0.29,1,0.0,0,0,0,1,0
0.15909090909090917,0.13953488372093023,0.2962962962962963,1,0.010000000000000002,1,0.32598425196850395,0,0,0,0,0
0.6136363636363638,0.6046511627906976,0.8425925925925926,3,0.21000000000000002,3,0.3779527559055118,1,0,0,1,0
0.13636363636363635,0.11627906976744186,0.16666666666666666,1,0.020000000000000004,3,0.0,0,0,0,1,0
0.40909090909090917,0.3953488372093023,0.6064814814814814,2,0.8,1,0.0,0,0,0,1,0
0.7272727272727273,0.6976744186046512,0.09722222222222221,3,0.010000000000000002,2,0.0,0,1,1,1,0
0.75,0.7209302325581395,0.5694444444444444,2,0.12,3,0.0,1,0,0,0,0
0.11363636363636365,0.046511627906976744,0.3935185185185185,2,0.020000000000000004,1,0.0,0,0,0,0,0
0.18181818181818188,0.11627906976744186,0.8333333333333333,2,0.45,1,0.7165354330708661,0,0,0,0,0
0.590909090909091,0.5581395348837209,0.14351851851851852,3,0.17,2,0.0,0,1,0,1,0
0.5454545454545454,0.4883720930232558,0.5416666666666667,1,0.5700000000000001,1,0.1763779527559055,0,1,0,0,0
0.4318181818181819,0.41860465116279066,0.06481481481481481,1,0.1,1,0.0,0,0,0,0,0
0.4318181818181819,0.3953488372093023,0.1111111111111111,4,0.0,2,0.0,0,0,0,1,0
0.5454545454545454,0.5348837209302325,0.44907407407407407,2,0.33,1,0.0,0,0,0,0,0
0.8181818181818183,0.813953488372093,0.5694444444444444,1,0.38,1,0.0,0,0,0,1,1
0.8863636363636365,0.8372093023255813,0.44907407407407407,2,0.27999999999999997,1,0.5291338582677165,0,0,0,0,0
0.6818181818181819,0.5348837209302325,0.17129629629629628,4,0.2,3,0.2078740157480315,0,1,0,0,0
0.5454545454545454,0.4883720930232558,0.24074074074074076,3,0.21000000000000002,1,0.0,0,0,0,1,1
0.6818181818181819,0.6744186046511628,0.05555555555555555,4,0.020000000000000004,1,0.0,0,0,0,1,0
0.4318181818181819,0.41860465116279066,0.4953703703703703,1,0.35000000000000003,1,0.0,0,0,0,0,1
0.6818181818181819,0.6744186046511628,0.2824074074074074,4,0.1,2,0.0,0,0,0,1,0
0.4772727272727273,0.46511627906976744,0.5648148148148149,1,0.5,1,0.0,0,0,0,0,1
0.40909090909090917,0.37209302325581395,0.35648148148148145,1,0.4,3,0.0,0,0,0,1,1
